image,factor,down_method,up_method,psnr_db,ssim
01_smooth_gradient.png,4,max,nn,50.24,0.9967
01_smooth_gradient.png,4,max,bilinear,50.74,0.9978
01_smooth_gradient.png,4,max,bicubic,50.64,0.9976
01_smooth_gradient.png,4,average,nn,54.92,0.9965
01_smooth_gradient.png,4,average,bilinear,70.15,0.9999
01_smooth_gradient.png,4,average,bicubic,57.15,0.9979
01_smooth_gradient.png,4,median,nn,54.92,0.9965
01_smooth_gradient.png,4,median,bilinear,60.57,0.9991
01_smooth_gradient.png,4,median,bicubic,57.15,0.9979
02_sharp_edges.png,4,max,nn,21.32,0.9483
02_sharp_edges.png,4,max,bilinear,21.31,0.9298
02_sharp_edges.png,4,max,bicubic,21.28,0.9228
02_sharp_edges.png,4,average,nn,24.93,0.9571
02_sharp_edges.png,4,average,bilinear,24.19,0.9357
02_sharp_edges.png,4,average,bicubic,24.78,0.9337
02_sharp_edges.png,4,median,nn,23.49,0.9622
02_sharp_edges.png,4,median,bilinear,24.25,0.9408
02_sharp_edges.png,4,median,bicubic,24.4,0.9346
03_high_frequency.png,4,max,nn,inf,1.0
03_high_frequency.png,4,max,bilinear,13.98,0.7186
03_high_frequency.png,4,max,bicubic,15.48,0.7648
03_high_frequency.png,4,average,nn,inf,1.0
03_high_frequency.png,4,average,bilinear,13.98,0.7186
03_high_frequency.png,4,average,bicubic,15.48,0.7648
03_high_frequency.png,4,median,nn,inf,1.0
03_high_frequency.png,4,median,bilinear,13.98,0.7186
03_high_frequency.png,4,median,bicubic,15.48,0.7648
04_photo_like.png,4,max,nn,27.56,0.7763
04_photo_like.png,4,max,bilinear,27.81,0.793
04_photo_like.png,4,max,bicubic,27.74,0.7867
04_photo_like.png,4,average,nn,35.35,0.8116
04_photo_like.png,4,average,bilinear,35.68,0.8101
04_photo_like.png,4,average,bicubic,35.81,0.8117
04_photo_like.png,4,median,nn,34.96,0.8079
04_photo_like.png,4,median,bilinear,35.59,0.8093
04_photo_like.png,4,median,bicubic,35.59,0.8095
